Região,Tipo,Menos de 2ha,De 2ha a 5ha,De 5ha a 10ha,De 10ha a 20ha,De 20ha a 50ha,De 50ha a 100ha,Mais que 100ha,Total
Brasil,Agricultura familiar,1011934,745626,587767,670807,741436,316205,230778,4304553
Brasil,Agricultura não familiar,37066,46181,48577,65991,102484,74677,241088,616064
Norte,Agricultura familiar,58654,33119,29068,42568,98033,73159,64258,398859
Norte,Agricultura não familiar,2066,1942,1683,2622,6503,6220,24727,45763
Nordeste,Agricultura familiar,765008,422740,254657,228629,252438,102931,70987,2097390
Nordeste,Agricultura não familiar,21624,17984,16382,18160,27944,20763,52709,175566
Sudeste,Agricultura familiar,100872,135877,116446,128362,131726,50979,30807,695069
Sudeste,Agricultura não familiar,7293,15032,17939,26974,42791,30606,66876,207511
Sul,Agricultura familiar,77929,135984,167652,236404,189234,48781,25222,881206
Sul,Agricultura não familiar,5250,9317,10366,14478,16937,9626,39212,105186
Centro-Oeste,Agricultura familiar,9471,17906,19944,34844,70005,40355,39504,232029
Centro-Oeste,Agricultura não familiar,833,1906,2207,3757,8309,7462,57564,82038
Centro-Oeste,Total,10304,19812,22151,38601,78314,47817,97068,314067
Nordeste,Total,786632,440724,271039,246789,280382,123694,123696,2272956
Norte,Total,60720,35061,30751,45190,104536,79379,88985,444622
Sudeste,Total,108165,150909,134385,155336,174517,81585,97683,902580
Sul,Total,83179,145301,178018,250882,206171,58407,64434,986392
Brasil,Total,1049000,791807,636344,736798,843920,390882,471866,4920617
