Ano,Classificação Nacional de Atividades Econômicas (CNAE 2.0),Número de empresas (Unidades),Receita - total (Mil Reais),Receita líquida de vendas - total (Mil Reais),Receita líquida de vendas - de produtos e serviços industriais (Mil Reais),"Consumo de matérias-primas, materiais auxiliares e componentes (Mil Reais)",Valor bruto da produção industrial (Mil Reais),Valor da transformação industrial (Mil Reais)
2007,Total,279816,1659231385,1498573321,1400849096,698126331,1412026744,601395090
2007,Extração de carvão mineral,28,833599,808673,778787,195123,777502,400638
2007,Extração de petróleo e gás natural,8,360114,160941,160941,4269,160993,106034
2007,Extração de minerais metálicos,210,76227092,35097488,30996301,4341994,31579411,18017093
2007,Metalurgia,2915,139674573,121117991,119552249,56184216,120432372,47834654
2008,Total,309089,1977325950,1759865956,1632489851,806871662,1663363550,724317324
2008,Extração de carvão mineral,48,1064572,1043043,994630,269695,1001465,462640
2008,Extração de petróleo e gás natural,13,354508,157117,157117,4752,161441,95855
2008,Extração de minerais metálicos,248,74241240,43719100,39358585,3025535,40284663,28171342
2008,Metalurgia,2843,168477777,141118305,139481758,64139387,143939182,58385247
2009,Total,299082,1906535689,1666591683,1532968407,724214440,1526494166,676161902
2009,Extração de carvão mineral,39,1000445,958052,874639,149089,881260,461401
2009,Extração de petróleo e gás natural,18,983575,535587,534750,25589,537029,341152
2009,Extração de minerais metálicos,218,54900674,35404049,32963087,2190194,32998538,22716707
2009,Metalurgia,2986,128561357,103445387,101613306,44990604,99241981,35600523
2010,Total,299862,2134267814,1959060950,1802434151,840555164,1820372707,832937936
2010,Extração de carvão mineral,41,1010888,969804,871533,198029,869908,405543
2010,Extração de petróleo e gás natural,20,1665031,1465893,1459250,1327,1460924,1014559
2010,Extração de minerais metálicos,218,86063530,68565150,65752675,4410554,66514335,52114991
2010,Metalurgia,3261,142359941,125228015,122882854,56534613,126342097,46130493
2011,Total,313191,2424799775,2209779928,1997350328,928875276,2024916936,935281675
2011,Extração de carvão mineral,32,1082760,1040799,926419,178847,936446,466199
2011,Extração de petróleo e gás natural,32,13491617,7309853,7309846,8834,7812277,5488406
2011,Extração de minerais metálicos,240,115503800,88832499,86722769,5007384,86802472,70103235
2011,Metalurgia,2850,156617031,133520380,130763369,66941303,132369515,42841482
2012,Total,328532,2624458539,2410970999,2162110624,1017410154,2179688840,991434398
2012,Extração de carvão mineral,27,1181713,1105470,1005003,206728,1022813,477676
2012,Extração de petróleo e gás natural,43,19123593,12545005,12545005,200272,13431175,10119623
2012,Extração de minerais metálicos,232,97256200,80565076,77382919,3938816,77535343,63668796
2012,Metalurgia,3243,161758967,140170046,136278861,70678594,136641888,43987900
2013,Total,334976,2905428036,2654148123,2393139328,1146123913,2416511396,1086045041
2013,Extração de carvão mineral,25,1367698,1331585,1246958,254612,1242454,656315
2013,Extração de petróleo e gás natural,36,24148584,15776688,15721151,224925,17000132,10079602
2013,Extração de minerais metálicos,242,123075455,86732565,84005285,5519054,84133509,70663933
2013,Metalurgia,2997,179445001,160014731,156241211,78348191,156727787,53600152
2014,Total,333750,3061895494,2792629485,2497492566,1209718459,2516373075,1111434219
2014,Extração de carvão mineral,24,1659594,1604069,1502522,334139,1506568,765011
2014,Extração de petróleo e gás natural,41,27112232,23659820,23546869,196802,25531943,15585604
2014,Extração de minerais metálicos,247,87028476,77781320,75188050,5676394,75830336,60616211
2014,Metalurgia,3306,187695947,167022712,162656207,83076498,164504638,56917342
2015,Total,323293,3238191657,2803204061,2495174242,1193857855,2515254185,1104860608
2015,Extração de carvão mineral,20,1448149,1423208,1283601,206927,1284128,682312
2015,Extração de petróleo e gás natural,40,25670361,22194776,22129015,313319,21956854,12419699
2015,Extração de minerais metálicos,241,83410837,62366992,60549453,5781420,60668495,41391884
2015,Metalurgia,2704,198698151,166888986,160062391,80126495,160612046,55417563
2016,Total,318452,3218379101,2792456325,2515995359,1206181113,2524148204,1103671562
2016,Extração de carvão mineral,17,1215321,1182747,1019486,94068,1028870,627869
2016,Extração de petróleo e gás natural,41,33978286,24797934,24731569,43745,24689281,15731566
2016,Extração de minerais metálicos,238,98769090,63201467,61511386,5126226,61416675,40352304
2016,Metalurgia,2842,188623618,156598587,149911397,73670889,149585386,52452153
