Brasil e Grande Região,Tipo de agricultor,Total,Menos de 2 ha,2 a menos de 5 ha,5 a menos de 10 ha,10 a menos de 20 ha,20 a menos de 50 ha,50 a menos de 100 ha,100 ha e mais
Brasil,Total,4304553,1011934,745626,587767,670807,741436,316205,230778
Brasil,Familiar - tipo A,445114,35763,46126,50848,80182,115429,59567,57199
Brasil,Familiar - tipo B,932790,137990,144030,141730,185042,196419,76679,50900
Brasil,Familiar - tipo C,546204,100731,103082,88240,98652,97272,36243,21984
Brasil,Familiar - tipo D,2380445,737450,452388,306949,306931,332316,143716,100695
Brasil,Agriculltor não familiar,-,-,-,-,-,-,-,-
Norte,Total,398859,58654,33119,29068,42568,98033,73159,64258
Norte,Familiar - tipo A,45937,2907,2572,2616,4731,10454,9743,12914
Norte,Familiar - tipo B,81078,7974,6308,5942,9342,21441,15947,14124
Norte,Familiar - tipo C,57079,8766,5704,4998,6887,14374,9282,7068
Norte,Familiar - tipo D,214765,39007,18535,15512,21608,51764,38187,30152
Norte,Agriculltor não familiar,-,-,-,-,-,-,-,-
Nordeste,Total,2097390,765008,422740,254657,228629,252438,102931,70987
Nordeste,Familiar - tipo A,152134,26192,25685,19269,21320,28427,15785,15456
Nordeste,Familiar - tipo B,422631,106991,82090,59175,57989,67676,29685,19025
Nordeste,Familiar - tipo C,244043,66649,53989,35125,32068,35220,13278,7714
Nordeste,Familiar - tipo D,1278582,565176,260976,141088,117252,121115,44183,28792
Nordeste,Agriculltor não familiar,-,-,-,-,-,-,-,-
Sudeste,Total,695069,100872,135877,116446,128362,131726,50979,30807
Sudeste,Familiar - tipo A,88152,4220,9026,11995,17169,24007,12476,9259
Sudeste,Familiar - tipo B,141122,12135,23630,24809,30344,32038,11967,6199
Sudeste,Familiar - tipo C,89843,13230,18999,16407,17691,16175,4997,2344
Sudeste,Familiar - tipo D,375952,71287,84222,63235,63158,59506,21539,13005
Sudeste,Agriculltor não familiar,-,-,-,-,-,-,-,-
Sul,Total,881206,77929,135984,167652,236404,189234,48781,25222
Sul,Familiar - tipo A,135358,2176,8012,16071,35014,46977,17036,10072
Sul,Familiar - tipo B,247273,10110,29960,49009,81209,61005,11464,4516
Sul,Familiar - tipo C,126878,11076,22286,29125,37067,21749,4001,1574
Sul,Familiar - tipo D,371697,54567,75726,73447,83114,59503,16280,9060
Sul,Agriculltor não familiar,-,-,-,-,-,-,-,-
Centro-Oeste,Total,232029,9471,17906,19944,34844,70005,40355,39504
Centro-Oeste,Familiar - tipo A,23533,268,831,897,1948,5564,4527,9498
Centro-Oeste,Familiar - tipo B,40686,780,2042,2795,6158,14259,7616,7036
Centro-Oeste,Familiar - tipo C,28361,1010,2104,2585,4939,9754,4685,3284
Centro-Oeste,Familiar - tipo D,139449,7413,12929,13667,21799,40428,23527,19686
Centro-Oeste,Agriculltor não familiar,-,-,-,-,-,-,-,-
Centro-Oeste,,,,,,,,,
