Brasil e Grande Região,Tipologia,Total,"Mais de 0 a menos de 0,1 ha","De 0,1 a menos de 0,2 ha","De 0,2 a menos de 0,5 ha","De 0,5 a menos de 1 ha",De 1 a menos de 2 ha,De 2 a menos de 3 ha,De 3 a menos de 4 ha,De 4 a menos de 5 ha,De 5 a menos de 10 ha,De 10 a menos de 20 ha,De 20 a menos de 50 ha,De 50 a menos de 100 ha,De 100 a menos de 200 ha,De 200 a menos de 500 ha,De 500 a menos de 1.000 ha,De 1.000 a menos de 2.500 ha,De 2.500 a menos de 10.000 ha,De 10.000 ha e mais,Produtor sem área
Brasil,Total,5073324,74379,54438,174299,303316,468288,336993,260945,220309,650714,730662,855865,394157,218758,147083,54878,34338,14415,2450,77037
Brasil,Agricultura familiar - não,1175916,18230,13855,41974,66252,97583,66330,46601,39455,105283,107449,130750,93449,101454,119132,54453,34209,14380,2434,22643
Brasil,Agricultura familiar - sim,3897408,56149,40583,132325,237064,370705,270663,214344,180854,545431,623213,725115,300708,117304,27951,425,129,35,16,54394
Norte,Total,580613,15427,8382,14420,21356,35989,27005,18324,16049,44605,54731,127402,88103,51484,28422,9974,6658,2920,362,9000
Norte,Agricultura familiar - não,100038,1624,1031,2051,2813,4291,3213,1969,2247,5515,6677,15307,10369,6972,15425,9652,6568,2893,351,1070
Norte,Agricultura familiar - sim,480575,13803,7351,12369,18543,31698,23792,16355,13802,39090,48054,112095,77734,44512,12997,322,90,27,11,7930
Nordeste,Total,2322719,43958,34939,137378,238144,335795,197732,144989,98418,278665,254859,277178,113121,55482,33297,10317,5050,1892,387,61118
Nordeste,Agricultura familiar - não,483873,11615,9152,33049,50191,68492,37449,25143,16690,45158,40588,43640,22047,18135,25673,10254,5031,1888,384,19294
Nordeste,Agricultura familiar - sim,1838846,32343,25787,104329,187953,267303,160283,119846,81728,233507,214271,233538,91074,37347,7624,63,19,4,3,41824
Sudeste,Total,969415,9311,6911,13015,19768,55616,60313,51792,54628,151057,170760,184987,85456,50479,34296,10509,4775,1662,294,3786
Sudeste,Agricultura familiar - não,280470,3088,2256,3794,5569,13972,13234,10157,10539,28022,31160,39848,30555,36914,32883,10501,4772,1662,294,1250
Sudeste,Agricultura familiar - sim,688945,6223,4655,9221,14199,41644,47079,41635,44089,123035,139600,145139,54901,13565,1413,8,3,-,-,2536
Sul,Total,853314,3797,3387,7737,20518,32876,42585,40932,41113,147866,204870,181509,58290,29272,21977,8484,4504,1107,79,2411
Sul,Agricultura familiar - não,187547,1304,1139,2489,6590,8439,9529,7964,7245,20334,20193,17349,20954,27209,21923,8472,4492,1106,79,737
Sul,Agricultura familiar - sim,665767,2493,2248,5248,13928,24437,33056,32968,33868,127532,184677,164160,37336,2063,54,12,12,1,-,1674
Centro-Oeste,Total,347263,1886,819,1749,3530,8012,9358,4908,10101,28521,45442,84789,49187,32041,29091,15594,13351,6834,1328,722
Centro-Oeste,Agricultura familiar - não,123988,599,277,591,1089,2389,2905,1368,2734,6254,8831,14606,9524,12224,23228,15574,13346,6831,1326,292
Centro-Oeste,Agricultura familiar - sim,223275,1287,542,1158,2441,5623,6453,3540,7367,22267,36611,70183,39663,19817,5863,20,5,3,2,430
